TABLE,RUN,NUM_LABELS,MIN,P25,P50,P75,P90,P95,P99,MAX,MEAN,QPS
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,1,8,12.72,21.64,24.05,26.23,28.02,29.02,31.23,34.05,23.87,41.89
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,1,16,12.35,20.78,23.10,25.31,27.07,27.97,29.63,38.45,22.92,43.62
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,1,32,12.91,20.54,23.29,25.66,27.44,28.48,31.19,35.51,23.09,43.30
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,1,64,13.25,20.09,22.93,25.26,27.09,28.37,30.89,34.72,22.68,44.09
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,2,1,1.14,1.81,23.10,26.01,28.05,28.85,30.77,36.22,17.78,56.25
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,2,2,1.38,21.36,24.01,26.03,28.16,29.23,31.97,35.29,22.46,44.53
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,2,4,1.93,21.89,24.11,26.12,27.64,28.90,31.34,40.22,23.86,41.92
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,2,8,13.15,21.49,23.62,25.43,27.31,28.17,30.22,35.75,23.38,42.77
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,2,16,12.89,20.71,23.30,25.53,27.16,28.05,30.22,38.60,23.10,43.28
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,2,32,13.28,20.58,23.14,25.48,27.63,28.80,31.07,34.72,23.01,43.46
cohere_wikipedia_22_12_1m_angular_normal_diskann_filt,2,64,13.86,20.99,23.70,26.20,28.30,29.54,31.78,35.48,23.55,42.46
cohere_wikipedia_22_12_1m_angular_normal,1,1,210.15,220.78,245.75,334.02,393.18,407.51,415.94,421.57,279.22,3.58
cohere_wikipedia_22_12_1m_angular_normal,1,2,216.68,258.52,337.83,412.98,468.25,510.38,547.31,577.65,343.51,2.91
cohere_wikipedia_22_12_1m_angular_normal,1,4,233.73,375.56,450.74,528.20,595.39,636.42,703.02,799.10,454.66,2.20
cohere_wikipedia_22_12_1m_angular_normal,1,8,289.78,563.67,657.70,740.86,810.05,846.39,920.95,1018.64,651.39,1.54
cohere_wikipedia_22_12_1m_angular_normal,1,16,589.95,949.10,1033.60,1118.00,1183.91,1213.99,1280.49,1325.53,1030.37,0.97
cohere_wikipedia_22_12_1m_angular_normal,1,32,1181.47,1413.40,1463.92,1510.65,1555.44,1579.99,1605.15,1637.48,1458.84,0.69
cohere_wikipedia_22_12_1m_angular_normal,1,64,1649.01,1689.27,1702.59,1720.48,1736.24,1745.33,1761.41,1832.94,1705.34,0.59
cohere_wikipedia_22_12_1m_angular_normal,2,1,206.41,216.09,244.87,333.52,388.18,395.82,399.32,436.04,275.56,3.63
cohere_wikipedia_22_12_1m_angular_normal,2,2,213.90,254.24,333.59,398.49,438.25,485.65,537.45,549.87,333.55,3.00
cohere_wikipedia_22_12_1m_angular_normal,2,4,231.93,373.99,438.28,519.46,582.81,632.05,676.02,749.31,444.54,2.25
cohere_wikipedia_22_12_1m_angular_normal,2,8,314.11,549.59,633.07,712.07,786.04,832.55,918.14,976.95,631.67,1.58
cohere_wikipedia_22_12_1m_angular_normal,2,16,624.01,927.88,1019.99,1096.27,1159.18,1191.08,1254.53,1307.04,1011.11,0.99
cohere_wikipedia_22_12_1m_angular_normal,2,32,1132.96,1371.60,1423.42,1465.32,1499.32,1519.10,1555.04,1584.04,1415.84,0.71
cohere_wikipedia_22_12_1m_angular_normal,2,64,1636.10,1682.42,1695.07,1708.47,1720.50,1729.16,1748.86,1801.82,1696.07,0.59
cohere_wikipedia_22_12_1m_angular_normal_int,1,1,1.16,9.59,86.88,178.52,215.25,223.07,230.64,239.14,98.77,10.12
cohere_wikipedia_22_12_1m_angular_normal_int,1,2,1.99,104.06,172.81,220.60,261.82,296.51,357.45,389.71,160.07,6.25
cohere_wikipedia_22_12_1m_angular_normal_int,1,4,11.63,188.09,250.84,333.87,392.13,435.46,504.89,585.45,261.11,3.83
cohere_wikipedia_22_12_1m_angular_normal_int,1,8,55.98,356.67,453.47,539.48,605.90,657.47,736.35,828.35,448.06,2.23
cohere_wikipedia_22_12_1m_angular_normal_int,1,16,291.92,669.62,768.34,861.66,941.27,987.27,1054.68,1208.09,760.73,1.31
cohere_wikipedia_22_12_1m_angular_normal_int,1,32,876.46,1193.01,1254.86,1317.29,1361.34,1384.48,1430.13,1499.76,1247.79,0.80
cohere_wikipedia_22_12_1m_angular_normal_int,1,64,1730.99,1749.81,1759.55,1787.09,1802.18,1805.60,1812.78,1832.66,1767.43,0.57
cohere_wikipedia_22_12_1m_angular_normal_int,2,1,1.28,6.48,79.23,167.60,209.44,217.39,222.46,233.02,90.07,11.10
cohere_wikipedia_22_12_1m_angular_normal_int,2,2,2.14,112.47,168.70,219.06,258.06,303.63,362.47,374.60,161.18,6.20
cohere_wikipedia_22_12_1m_angular_normal_int,2,4,20.79,197.09,256.93,335.11,397.88,436.09,487.26,535.38,265.41,3.77
cohere_wikipedia_22_12_1m_angular_normal_int,2,8,119.10,367.42,445.31,525.27,612.28,651.92,709.36,823.81,445.59,2.24
cohere_wikipedia_22_12_1m_angular_normal_int,2,16,249.61,673.37,767.33,853.24,944.38,980.08,1040.12,1130.89,762.82,1.31
